Model,Variant,Fuel,Transmission
Alto K10,Std,Petrol,MT
Alto K10,LXi,Petrol,MT
Alto K10,VXi,Petrol,MT
Alto K10,VXi,CNG,MT
Alto K10,VXi+,Petrol,MT
Alto K10,VXi AGS,Petrol,AMT
Alto K10,VXi+ AGS,Petrol,AMT
S-Presso,Std,Petrol,MT
S-Presso,LXi,Petrol,MT
S-Presso,LXi,CNG,MT
S-Presso,VXi,Petrol,MT
S-Presso,VXi,CNG,MT
S-Presso,VXi+,Petrol,MT
S-Presso,VXi AGS,Petrol,AMT
S-Presso,VXi+ AGS,Petrol,AMT
Celerio,LXi,Petrol,MT
Celerio,VXi,Petrol,MT
Celerio,VXi,CNG,MT
Celerio,ZXi,Petrol,MT
Celerio,ZXi+,Petrol,MT
Celerio,VXi AMT,Petrol,AMT
Celerio,ZXi AMT,Petrol,AMT
Celerio,ZXi+ AMT,Petrol,AMT
Wagon R,LXi 1.0,Petrol,MT
Wagon R,LXi 1.0,CNG,MT
Wagon R,VXi 1.0,Petrol,MT
Wagon R,VXi 1.0,CNG,MT
Wagon R,VXi 1.2,Petrol,MT
Wagon R,ZXi 1.2,Petrol,MT
Wagon R,ZXi+ 1.2,Petrol,MT
Wagon R,VXi 1.0 AGS,Petrol,AMT
Wagon R,VXi 1.2 AGS,Petrol,AMT
Wagon R,ZXi 1.2 AGS,Petrol,AMT
Wagon R,ZXi+ 1.2 AGS,Petrol,AMT
Swift,LXi,Petrol,MT
Swift,VXi,Petrol,MT
Swift,VXi,CNG,MT
Swift,VXi (O),Petrol,MT
Swift,VXi (O),CNG,MT
Swift,ZXi,Petrol,MT
Swift,ZXi,CNG,MT
Swift,ZXi+,Petrol,MT
Swift,VXi AMT,Petrol,AMT
Swift,VXi (O) AMT,Petrol,AMT
Swift,ZXi AMT,Petrol,AMT
Swift,ZXi+ AMT,Petrol,AMT
Dzire,LXi,Petrol,MT
Dzire,VXi,Petrol,MT
Dzire,VXi,CNG,MT
Dzire,ZXi,Petrol,MT
Dzire,ZXi,CNG,MT
Dzire,ZXi+,Petrol,MT
Dzire,VXi AGS,Petrol,AMT
Dzire,ZXi AGS,Petrol,AMT
Dzire,ZXi+ AGS,Petrol,AMT
Brezza,LXi,Petrol,MT
Brezza,LXi,CNG,MT
Brezza,VXi,Petrol,MT
Brezza,VXi,CNG,MT
Brezza,ZXi,Petrol,MT
Brezza,ZXi,CNG,MT
Brezza,ZXi+,Petrol,MT
Brezza,VXi AT,Petrol,AT
Brezza,ZXi AT,Petrol,AT
Brezza,ZXi+ AT,Petrol,AT
Ertiga,LXi,Petrol,MT
Ertiga,VXi,Petrol,MT
Ertiga,VXi,CNG,MT
Ertiga,ZXi,Petrol,MT
Ertiga,ZXi,CNG,MT
Ertiga,ZXi+,Petrol,MT
Ertiga,VXi AT,Petrol,AT
Ertiga,ZXi AT,Petrol,AT
Ertiga,ZXi+ AT,Petrol,AT
Eeco,5-Seater Std,Petrol,MT
Eeco,5-Seater AC,Petrol,MT
Eeco,5-Seater AC,CNG,MT
Eeco,7-Seater Std,Petrol,MT
Eeco,Cargo,Petrol,MT
Eeco,Cargo,CNG,MT
Victoris,LXi,Petrol,MT
Victoris,VXi,Petrol,MT
Victoris,VXi,CNG,MT
Victoris,VXi AT,Petrol,AT
Victoris,ZXi,Petrol,MT
Victoris,ZXi,CNG,MT
Victoris,ZXi AT,Petrol,AT
Victoris,ZXi+,Petrol,MT
Victoris,ZXi+ AT,Petrol,AT
Victoris,ZXi+ Strong Hybrid,Hybrid,e-CVT
Ignis,Sigma,Petrol,MT
Ignis,Delta,Petrol,MT
Ignis,Zeta,Petrol,MT
Ignis,Alpha,Petrol,MT
Ignis,Delta AMT,Petrol,AMT
Ignis,Zeta AMT,Petrol,AMT
Ignis,Alpha AMT,Petrol,AMT
Baleno,Sigma,Petrol,MT
Baleno,Delta,Petrol,MT
Baleno,Delta,CNG,MT
Baleno,Zeta,Petrol,MT
Baleno,Zeta,CNG,MT
Baleno,Alpha,Petrol,MT
Baleno,Delta AMT,Petrol,AMT
Baleno,Zeta AMT,Petrol,AMT
Baleno,Alpha AMT,Petrol,AMT
Fronx,Sigma,Petrol,MT
Fronx,Sigma,CNG,MT
Fronx,Delta,Petrol,MT
Fronx,Delta,CNG,MT
Fronx,Delta+,Petrol,MT
Fronx,Zeta Turbo,Petrol,MT
Fronx,Alpha Turbo,Petrol,MT
Fronx,Delta+ AGS,Petrol,AMT
Fronx,Zeta Turbo AT,Petrol,AT
Fronx,Alpha Turbo AT,Petrol,AT
Ciaz,Sigma,Petrol,MT
Ciaz,Delta,Petrol,MT
Ciaz,Zeta,Petrol,MT
Ciaz,Alpha,Petrol,MT
Ciaz,Delta AT,Petrol,AT
Ciaz,Zeta AT,Petrol,AT
Ciaz,Alpha AT,Petrol,AT
Jimny,Zeta,Petrol,MT
Jimny,Alpha,Petrol,MT
Jimny,Zeta AT,Petrol,AT
Jimny,Alpha AT,Petrol,AT
Grand Vitara,Sigma,Petrol,MT
Grand Vitara,Delta,Petrol,MT
Grand Vitara,Delta,CNG,MT
Grand Vitara,Zeta,Petrol,MT
Grand Vitara,Zeta,CNG,MT
Grand Vitara,Alpha,Petrol,MT
Grand Vitara,Alpha AWD,Petrol,MT
Grand Vitara,Delta AT,Petrol,AT
Grand Vitara,Zeta AT,Petrol,AT
Grand Vitara,Alpha AT,Petrol,AT
Grand Vitara,Zeta+ Strong Hybrid,Hybrid,e-CVT
Grand Vitara,Alpha+ Strong Hybrid,Hybrid,e-CVT
XL6,Zeta,Petrol,MT
XL6,Zeta,CNG,MT
XL6,Alpha,Petrol,MT
XL6,Alpha+,Petrol,MT
XL6,Zeta AT,Petrol,AT
XL6,Alpha AT,Petrol,AT
XL6,Alpha+ AT,Petrol,AT
Invicto,Zeta+ 7S,Hybrid,e-CVT
Invicto,Zeta+ 8S,Hybrid,e-CVT
Invicto,Alpha+ 7S,Hybrid,e-CVT
Fronx,Delta+ Turbo,Petrol,MT
Magnite,Visia,Petrol,MT
Magnite,Visia+,Petrol,MT
Magnite,Acenta,Petrol,MT
Magnite,Acenta EZ-Shift,Petrol,AMT
Magnite,N-Connecta,Petrol,MT
Magnite,N-Connecta Turbo,Petrol,MT
Magnite,N-Connecta Turbo CVT,Petrol,CVT
Magnite,Tekna,Petrol,MT
Magnite,Tekna Turbo,Petrol,MT
Magnite,Tekna Turbo CVT,Petrol,CVT
Magnite,Tekna+,Petrol,MT
Magnite,Tekna+ Turbo CVT,Petrol,CVT
X-Trail,CBU 1.5 Turbo,Petrol,CVT
Magnite,Tekna+ Turbo,Petrol,MT
Magnite,Acenta Turbo,Petrol,MT
Magnite,Acenta Turbo CVT,Petrol,CVT
Slavia,Classic,Petrol,MT
Slavia,Signature,Petrol,MT
Slavia,Signature AT,Petrol,AT
Slavia,Prestige,Petrol,MT
Slavia,Prestige AT,Petrol,AT
Slavia,Prestige 1.5 TSI,Petrol,MT
Slavia,Prestige 1.5 TSI DSG,Petrol,DSG
Slavia,Monte Carlo 1.0 TSI,Petrol,MT
Slavia,Monte Carlo 1.0 TSI AT,Petrol,AT
Slavia,Monte Carlo 1.5 TSI DSG,Petrol,DSG
Kylaq,Classic,Petrol,MT
Kylaq,Signature,Petrol,MT
Kylaq,Signature AT,Petrol,AT
Kylaq,Prestige,Petrol,MT
Kylaq,Prestige AT,Petrol,AT
Kushaq,Classic,Petrol,MT
Kushaq,Signature,Petrol,MT
Kushaq,Signature AT,Petrol,AT
Kushaq,Prestige,Petrol,MT
Kushaq,Prestige AT,Petrol,AT
Kushaq,Prestige 1.5 TSI DSG,Petrol,DSG
Kushaq,Monte Carlo 1.0 TSI,Petrol,MT
Kushaq,Monte Carlo 1.0 TSI AT,Petrol,AT
Kushaq,Monte Carlo 1.5 TSI DSG,Petrol,DSG
Kodiaq,L&K,Petrol,DSG
Kylaq,Signature+,Petrol,MT
Kylaq,Signature+ AT,Petrol,AT
Kushaq,Prestige 1.5 TSI,Petrol,MT
Tiago,XE,Petrol,MT
Tiago,XM,Petrol,MT
Tiago,XT,Petrol,MT
Tiago,XT,CNG,MT
Tiago,XZ+,Petrol,MT
Tiago,XZ+,CNG,MT
Tiago,XT AMT,Petrol,AMT
Tiago,XZ+ AMT,Petrol,AMT
Tiago,XZ+ CNG AMT,CNG,AMT
Tiago EV,XE,Electric,AT
Tiago EV,XT,Electric,AT
Tiago EV,XZ+,Electric,AT
Tiago EV,XZ+ Tech Lux,Electric,AT
Tigor,XM,Petrol,MT
Tigor,XZ,Petrol,MT
Tigor,XZ,CNG,MT
Tigor,XZ+,Petrol,MT
Tigor,XZ+,CNG,MT
Tigor,XZA+,Petrol,AMT
Tigor,XZA+ CNG AMT,CNG,AMT
Altroz,XE,Petrol,MT
Altroz,XM+,Petrol,MT
Altroz,XM+,CNG,MT
Altroz,XT,Petrol,MT
Altroz,XZ,Petrol,MT
Altroz,XZ,Diesel,MT
Altroz,XZ+,Petrol,MT
Altroz,XZ+ i-Turbo,Petrol,MT
Altroz,XZ+ CNG,CNG,MT
Altroz,XZ+ Diesel,Diesel,MT
Altroz,XZA DCA,Petrol,DCA
Altroz,XZ+ DCA,Petrol,DCA
Punch,Pure,Petrol,MT
Punch,Pure,CNG,MT
Punch,Adventure,Petrol,MT
Punch,Adventure,CNG,MT
Punch,Accomplished,Petrol,MT
Punch,Accomplished,CNG,MT
Punch,Creative,Petrol,MT
Punch,Adventure AMT,Petrol,AMT
Punch,Accomplished AMT,Petrol,AMT
Punch,Creative AMT,Petrol,AMT
Punch EV,Smart,Electric,AT
Punch EV,Smart+,Electric,AT
Punch EV,Adventure,Electric,AT
Punch EV,Empowered,Electric,AT
Punch EV,Empowered+,Electric,AT
Nexon,Smart,Petrol,MT
Nexon,Smart+,Petrol,MT
Nexon,Pure,Petrol,MT
Nexon,Pure,Diesel,MT
Nexon,Pure,CNG,MT
Nexon,Creative,Petrol,MT
Nexon,Creative,Diesel,MT
Nexon,Creative,CNG,MT
Nexon,Fearless+,Petrol,MT
Nexon,Fearless+,Diesel,MT
Nexon,Creative AMT,Petrol,AMT
Nexon,Creative DCA,Petrol,DCA
Nexon,Creative Diesel AMT,Diesel,AMT
Nexon,Fearless DCA,Petrol,DCA
Nexon,Fearless Diesel AMT,Diesel,AMT
Nexon EV,Creative,Electric,AT
Nexon EV,Fearless,Electric,AT
Nexon EV,Empowered+,Electric,AT
Curvv,Smart,Petrol,MT
Curvv,Pure+,Petrol,MT
Curvv,Pure+,Diesel,MT
Curvv,Creative,Petrol,MT
Curvv,Creative,Diesel,MT
Curvv,Accomplished+,Petrol,MT
Curvv,Accomplished+,Diesel,MT
Curvv,Creative DCA,Petrol,DCA
Curvv,Creative Diesel DCA,Diesel,DCA
Curvv,Accomplished+ DCA,Petrol,DCA
Curvv,Accomplished+ Diesel DCA,Diesel,DCA
Curvv EV,Creative,Electric,AT
